STANDARD_NAME	ARHGAP35_TARGET_GENES
SYSTEMATIC_NAME	M29887
COLLECTION	C3:TFT:GTRD
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ARHGAP35_TARGET_GENES
NAMESPACE	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	Genes containing one or more binding sites for UniProt:Q9NRY4 (ARHGAP35) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.
DESCRIPTION_FULL	
PMID	30445619
GEOID	
AUTHORS	Yevshin I,Sharipov R,Kolmykov S,Kondrakhin Y,Kolpakov F
CONTRIBUTOR	Anthony Castanza
CONTRIBUTOR_ORG	MSigDB Team
EXACT_SOURCE	Q9NRY4
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://gtrd.biouml.org/
SOURCE_MEMBERS	ENSG00000005194,ENSG00000008952,ENSG00000023516,ENSG00000025423,ENSG00000025796,ENSG00000036257,ENSG00000064651,ENSG00000068120,ENSG00000071626,ENSG00000072849,ENSG00000075131,ENSG00000082269,ENSG00000087269,ENSG00000087502,ENSG00000088179,ENSG00000088682,ENSG00000095261,ENSG00000100664,ENSG00000102043,ENSG00000103275,ENSG00000105372,ENSG00000108523,ENSG00000108528,ENSG00000109805,ENSG00000117450,ENSG00000118564,ENSG00000122565,ENSG00000122566,ENSG00000125388,ENSG00000126934,ENSG00000127952,ENSG00000129521,ENSG00000129696,ENSG00000131051,ENSG00000134287,ENSG00000134780,ENSG00000135549,ENSG00000136381,ENSG00000136536,ENSG00000137154,ENSG00000137709,ENSG00000138231,ENSG00000139726,ENSG00000140943,ENSG00000143093,ENSG00000146701,ENSG00000146842,ENSG00000146963,ENSG00000147854,ENSG00000148356,ENSG00000148925,ENSG00000151353,ENSG00000151729,ENSG00000157837,ENSG00000160551,ENSG00000161011,ENSG00000162894,ENSG00000163257,ENSG00000165480,ENSG00000165702,ENSG00000166260,ENSG00000166263,ENSG00000166341,ENSG00000167258,ENSG00000167670,ENSG00000168056,ENSG00000168214,ENSG00000168397,ENSG00000171456,ENSG00000171863,ENSG00000173141,ENSG00000173264,ENSG00000173436,ENSG00000175611,ENSG00000178021,ENSG00000178209,ENSG00000182150,ENSG00000185129,ENSG00000185379,ENSG00000185722,ENSG00000196155,ENSG00000197958,ENSG00000198218,ENSG00000198746,ENSG00000198794,ENSG00000199377,ENSG00000200463,ENSG00000200795,ENSG00000201183,ENSG00000201558,ENSG00000202444,ENSG00000207205,ENSG00000215472,ENSG00000226266,ENSG00000233396,ENSG00000235185,ENSG00000237765,ENSG00000239039,ENSG00000239219,ENSG00000245937,ENSG00000248975,ENSG00000257748,ENSG00000258038,ENSG00000260018,ENSG00000261135,ENSG00000265681,ENSG00000266114,ENSG00000266412,ENSG00000267041,ENSG00000267260,ENSG00000267618,ENSG00000269656,ENSG00000270103,ENSG00000270136,ENSG00000271780,ENSG00000271982,ENSG00000272161,ENSG00000272606,ENSG00000272822,ENSG00000272892,ENSG00000273391,ENSG00000273727,ENSG00000274428,ENSG00000274978,ENSG00000275052,ENSG00000275291,ENSG00000275538,ENSG00000275835,ENSG00000277610,ENSG00000277918,ENSG00000280266,ENSG00000283095
GENE_SYMBOLS	CIAPIN1,SEC62,AKAP11,HSD17B6,SEC63,CUL3,SLC12A2,COASY,DAZAP1,DERL2,TIPIN,FAM135A,NOP14,ERGIC2,PTPN4,COQ9,PSMD5,EIF5,MTMR8,UBE2I,RPS19,RNF167,SLC25A11,NCAPG,PRDX1,FBXL5,CBX3,HNRNPA2B1,GRK4,MAP2K2,STYXL1,EGLN3,TTI2,RBM39,ARF3,DAGLA,PKIB,IREB2,MARCHF7,RPS6,POU2F3,DBR1,DENR,MBTPS1,STRIP1,MDH2,TMEM209,LUC7L2,UHRF2,LRSAM1,BTBD10,TMEM18,SLC25A4,SPPL3,TAOK1,SQSTM1,FCMR,DCAF16,SKA3,GFI1B,COX11,STXBP4,DCHS1,CDK12,CHAF1A,LTBP3,RBPJ,ATG4B,ASXL1,RPS7,MRPL57,GPR137,MICOS10,ERCC6L2-AS1,TSPYL6,PLEC,ERCC6L2,PURA,RAD51D,ANKFY1,PLEKHG4,RPL12,QRICH1,GPATCH3,SCAMP5,RNU5F-1,SNORD118,RNU4-1,RNVU1-3,RNVU1-6,RNU5E-6P,RNVU1-15,RPL17-C18orf32,BAZ2B,LINC01719,MICOS10-DT,FAM200B,SNORD13,FHL1P1,SLC12A2-DT,,LINC02281,LINC02327,MBTPS1-DT,,RPL17,,NCOA4,ZNF850,ENSG00000267260,,NOP53-AS1,,MICOS10-NBL1,,SNORD58B,,PPP4R3B-DT,,,,U1,RNVU1-25,RNU11,PPP4R3B,RNVU1-26,RNVU1-19,TUBGCP5,RNVU1-4,RNVU1-28,,
FOUNDER_NAMES	