STANDARD_NAME	MDM2_TARGET_GENES
SYSTEMATIC_NAME	M40754
COLLECTION	C3:TFT:GTRD
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MDM2_TARGET_GENES
NAMESPACE	Human_Ensembl_Gene_ID
DESCRIPTION_BRIEF	Genes containing one or more binding sites for UniProt:Q00987 (MDM2) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.
DESCRIPTION_FULL	
PMID	30445619
GEOID	
AUTHORS	Yevshin I,Sharipov R,Kolmykov S,Kondrakhin Y,Kolpakov F
CONTRIBUTOR	Anthony Castanza
CONTRIBUTOR_ORG	MSigDB Team
EXACT_SOURCE	Q00987
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	http://gtrd.biouml.org/
SOURCE_MEMBERS	ENSG00000087086,ENSG00000089280,ENSG00000102786,ENSG00000118058,ENSG00000137331,ENSG00000147164,ENSG00000148926,ENSG00000170315,ENSG00000174282,ENSG00000181222,ENSG00000186834,ENSG00000204256,ENSG00000236778,ENSG00000276728
GENE_SYMBOLS	FTL,FUS,INTS6,KMT2A,IER3,SNX12,ADM,UBB,ZBTB4,POLR2A,HEXIM1,BRD2,INTS6-AS1,
FOUNDER_NAMES	